raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
697881,2012-10-04,12:00:00,4100 MADISON ST W,41.8810111,-87.7283369,GM,,,,,male,,,other,male,14,,vehicular,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
407961,2014-04-01,20:00:00,4717 FORRESTVILLE AVE S,41.8088744,-87.6123324,GM,,,,,male,,,black,male,4,,vehicular,PARKING IN ALLEYS,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1467738,2019-03-11,15:20:00,7XX W MARQUETTE RD,41.7726252080001,-87.626907468,SU,723,7,26,black,female,,,,,,7,vehicular,AUTHORIZED EMERGENCY VEHICLES,,,,,,,FALSE,,FALSE,FALSE,FALSE,FORD,EXPEDITION,BLACK,
2046420,2020-02-18,23:49:00,56XX S WESTERN AVE,41.8801486800001,-87.686452243,SU,824,8,19,hispanic,male,,,,,,8,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,NISSAN,ROGUE,HISPANIC,
1495310,2019-03-26,16:32:00,2XX N CENTRAL PARK AVE,41.8809183600001,-87.7159383599999,SU,1123,11,22,black,female,,,,,,11,vehicular,CITY VEH STICKER REQ/FAILURE TO OR IMPROPER DISPLAY,,,,,,,FALSE,,FALSE,FALSE,FALSE,LINCOLN-CONTINENTAL,CONTINENTAL,BLACK,
1756289,2019-08-22,10:05:00,19XX E 71ST ST,41.7653427930001,-87.624215866,SU,332,3,26,black,female,,,,,,3,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,DODGE,GRAND CARAVAN,BLACK,
1639018,2019-06-15,00:30:00,13XX N HALSTED ST,41.8819569730001,-87.64730692,SU,1822,18,40,black,female,,,,,,18,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,BUICK,REGAL,BLACK,
1080093,2018-07-02,12:23:00,5XX E 130TH ST,41.6601338450001,-87.593389098,SU,532,5,40,black,female,,,,,,5,vehicular,FAILED TO USE SEATBELT,,,,,,,FALSE,,FALSE,FALSE,FALSE,NISSAN,ROGUE,BLACK,
1638939,2019-06-14,23:55:00,13XX S BLUE ISLAND AVE,41.860643554,-87.658768924,SU,1232,12,57,white,female,,,,,,12,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,LEXUS,GS350,WHITE,
1342983,2018-12-29,19:14:00,68XX S ASHLAND AVE,41.880306585,-87.66684786,SU,725,7,26,black,female,,,,,,7,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,NISSAN,UNKNOWN,BLACK,
